boilerSize,radiatorType,radiator,toilet,toileType,washbasin,washbasinType,bathhub,bathhubType,showerCabin,showerCabinType,Bidet,BidetType,waterHeater,waterHeaterType,sinkTypeQuality,sinkCategorie,cost,time
big,Sira_Alice_Royal,16,2,One-Piece,1,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,Electric-50liters,high,single,777425,72
medium,Helyos_Evo,0,0,Basic-Ceramic,3,Countertop,2,Standard,1,Basic_Enclosure,1,Wall-Hung,1,Electric-50liters,high,single,366252,34
big,COPA_Aluminium,10,1,Wall-Hung,1,Pedestal,2,Luxury,0,Luxury_Enclosure,1,Wall-Hung,1,Electric-50liters,high,single,518013,53
big,Samochauf_SAHD,6,2,Basic-Ceramic,0,Wall-Mounted,1,Standard,1,Basic_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,single,352810,31
small,Primavera_H500,14,2,Basic-Ceramic,3,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,2,Wall-Hung,1,Electric-30liters,high,single,689609,65
medium,FONDITAL_ARDENTE_C2,14,2,One-Piece,2,Wall-Mounted,0,Standard,0,Luxury_Enclosure,1,Wall-Hung,1,Electric-50liters,high,double,583166,62
medium,FONDITAL_ARDENTE_C2,13,2,Wall-Hung,3,Wall-Mounted,0,Standard,2,Luxury_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,poor,single,819400,78
small,COPA_Aluminium,3,0,One-Piece,3,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Wall-Hung,1,GAS-11liters,poor,single,268098,27
small,GLOBAL_ISEO_350,11,0,One-Piece,2,Countertop,1,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-30liters,poor,double,1493501,56
big,GLOBAL_ISEO_350,0,0,Wall-Hung,2,Wall-Mounted,2,Standard,1,Basic_Enclosure,0,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,169119,18
medium,Sira_Alice_Royal,6,1,Basic-Ceramic,1,Pedestal,2,Standard,2,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,high,single,738769,47
small,Primavera_H500,13,0,Basic-Ceramic,3,Countertop,0,Luxury,0,Basic_Enclosure,1,Bidet-Ceramic,0,Electric-30liters,poor,double,558697,46
small,Sira_Alice_Royal,12,2,Basic-Ceramic,3,Wall-Mounted,0,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,high,double,621108,48
small,Primavera_H500,6,3,One-Piece,1,Wall-Mounted,0,Standard,1,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,high,double,419313,31
medium,COPA_Aluminium,11,2,Basic-Ceramic,2,Wall-Mounted,0,Luxury,1,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-6liters,poor,single,398282,38
medium,COPA_Aluminium,4,1,Basic-Ceramic,1,Pedestal,0,Standard,2,Basic_Enclosure,0,Bidet-Mixer-Tap,2,Electric-50liters,high,single,401528,37
medium,Helyos_Evo,7,1,One-Piece,3,Pedestal,0,Luxury,2,Basic_Enclosure,2,Wall-Hung,0,Electric-50liters,poor,single,462245,37
medium,Primavera_H500,4,2,One-Piece,1,Countertop,2,Standard,0,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-30liters,high,double,393086,37
big,Primavera_H500,0,0,Wall-Hung,1,Pedestal,2,Standard,2,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-6liters,high,double,224108,21
medium,COPA_Aluminium,11,0,Basic-Ceramic,2,Pedestal,0,Standard,0,Luxury_Enclosure,1,Bidet-Ceramic,0,GAS-6liters,poor,double,320124,30
medium,GLOBAL_ISEO_350,10,2,Basic-Ceramic,1,Countertop,0,Luxury,2,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,high,double,1467141,55
small,Helyos_Evo,2,1,Wall-Hung,3,Countertop,2,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-6liters,high,single,501338,43
small,GLOBAL_ISEO_350,9,1,Basic-Ceramic,3,Wall-Mounted,1,Luxury,1,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,high,single,1349850,46
small,Sira_Alice_Royal,8,3,One-Piece,3,Countertop,2,Standard,0,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,high,single,602663,51
medium,Helyos_Evo,0,2,Basic-Ceramic,0,Countertop,0,Luxury,0,Basic_Enclosure,0,Bidet-Ceramic,0,GAS-11liters,high,double,21756,2
big,GLOBAL_ISEO_350,9,2,Wall-Hung,3,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,1296604,48
medium,Helyos_Evo,0,2,Wall-Hung,3,Countertop,1,Luxury,0,Luxury_Enclosure,2,Wall-Hung,1,Electric-50liters,poor,double,425255,33
medium,Primavera_H500,0,0,Wall-Hung,0,Pedestal,1,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-11liters,poor,single,266876,17
big,Samochauf_SAHD,16,1,One-Piece,2,Countertop,2,Standard,0,Basic_Enclosure,2,Wall-Hung,0,Electric-50liters,poor,double,584102,56
medium,Helyos_Evo,2,0,Basic-Ceramic,1,Countertop,1,Standard,0,Luxury_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,poor,single,190080,17
big,Helyos_Evo,5,0,One-Piece,0,Countertop,0,Luxury,1,Luxury_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,poor,double,315111,23
small,Primavera_H500,5,2,Wall-Hung,3,Countertop,0,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,poor,single,524123,46
small,GLOBAL_ISEO_350,11,1,One-Piece,1,Pedestal,2,Standard,1,Luxury_Enclosure,0,Bidet-Ceramic,2,GAS-11liters,poor,double,1563413,53
big,Sira_Alice_Royal,1,3,Basic-Ceramic,2,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Bidet-Mixer-Tap,0,Electric-30liters,poor,single,219564,23
small,Sira_Alice_Royal,9,3,One-Piece,2,Countertop,2,Luxury,0,Luxury_Enclosure,0,Wall-Hung,2,Electric-30liters,poor,double,663612,56
medium,Samochauf_SAHD,9,3,Basic-Ceramic,3,Wall-Mounted,2,Standard,1,Basic_Enclosure,1,Bidet-Mixer-Tap,0,Electric-50liters,poor,double,485070,47
small,Helyos_Evo,7,1,One-Piece,1,Wall-Mounted,1,Standard,1,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,poor,single,418683,35
medium,FONDITAL_ARDENTE_C2,3,2,Basic-Ceramic,1,Countertop,0,Standard,0,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,double,288284,20
small,Helyos_Evo,8,0,One-Piece,3,Countertop,0,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,2,Electric-50liters,poor,double,519858,47
medium,GLOBAL_ISEO_350,9,3,Wall-Hung,1,Countertop,0,Standard,0,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-50liters,poor,double,1157838,43
big,Sira_Alice_Royal,8,2,One-Piece,3,Countertop,0,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-11liters,high,double,525393,42
big,Sira_Alice_Royal,15,0,One-Piece,3,Wall-Mounted,2,Standard,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,GAS-6liters,high,double,787372,67
big,FONDITAL_ARDENTE_C2,10,3,Wall-Hung,1,Pedestal,2,Luxury,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,GAS-11liters,high,single,615474,46
small,Helyos_Evo,9,1,One-Piece,2,Wall-Mounted,0,Standard,2,Luxury_Enclosure,1,Bidet-Mixer-Tap,1,GAS-6liters,high,single,572751,48
small,Samochauf_SAHD,1,2,Basic-Ceramic,0,Wall-Mounted,1,Standard,0,Basic_Enclosure,1,Bidet-Mixer-Tap,2,GAS-11liters,high,single,234157,18
small,Primavera_H500,15,1,Wall-Hung,2,Wall-Mounted,2,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,high,single,673207,61
small,FONDITAL_ARDENTE_C2,12,2,Basic-Ceramic,3,Pedestal,0,Standard,2,Basic_Enclosure,1,Wall-Hung,1,GAS-6liters,high,single,632266,53
small,FONDITAL_ARDENTE_C2,14,0,Basic-Ceramic,2,Pedestal,2,Luxury,2,Luxury_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,high,double,895687,59
medium,GLOBAL_ISEO_350,8,2,Basic-Ceramic,0,Pedestal,2,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,high,double,1261622,46
big,GLOBAL_ISEO_350,9,1,Basic-Ceramic,0,Pedestal,1,Luxury,2,Basic_Enclosure,2,Bidet-Ceramic,0,Electric-30liters,high,double,1220949,47
medium,Helyos_Evo,0,0,Wall-Hung,3,Wall-Mounted,2,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,331255,27
big,FONDITAL_ARDENTE_C2,1,2,One-Piece,2,Pedestal,2,Standard,0,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-6liters,poor,single,211247,20
medium,FONDITAL_ARDENTE_C2,5,1,One-Piece,2,Countertop,2,Luxury,1,Luxury_Enclosure,0,Wall-Hung,2,GAS-11liters,high,single,673959,43
medium,GLOBAL_ISEO_350,16,3,One-Piece,1,Pedestal,0,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,2,Electric-30liters,poor,double,2003731,55
small,COPA_Aluminium,3,0,Basic-Ceramic,1,Countertop,0,Standard,0,Luxury_Enclosure,0,Wall-Hung,1,GAS-6liters,high,single,156304,11
medium,GLOBAL_ISEO_350,5,1,Basic-Ceramic,3,Countertop,2,Luxury,1,Luxury_Enclosure,0,Bidet-Ceramic,2,Electric-30liters,poor,single,999109,46
big,Sira_Alice_Royal,0,2,Wall-Hung,0,Pedestal,0,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-11liters,high,double,358276,28
small,Primavera_H500,8,3,One-Piece,3,Wall-Mounted,1,Luxury,1,Basic_Enclosure,1,Wall-Hung,2,Electric-50liters,poor,double,697560,52
small,Sira_Alice_Royal,10,0,One-Piece,0,Pedestal,0,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,high,double,397290,28
medium,GLOBAL_ISEO_350,5,3,Wall-Hung,0,Wall-Mounted,1,Standard,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,GAS-11liters,poor,single,755493,28
small,Primavera_H500,8,0,Wall-Hung,2,Pedestal,2,Standard,2,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-11liters,high,single,665186,48
big,COPA_Aluminium,6,2,Basic-Ceramic,2,Wall-Mounted,0,Luxury,1,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,single,417267,37
big,Helyos_Evo,7,1,Basic-Ceramic,1,Wall-Mounted,1,Luxury,0,Luxury_Enclosure,2,Wall-Hung,0,GAS-6liters,poor,single,345904,28
small,Samochauf_SAHD,15,1,One-Piece,2,Countertop,0,Standard,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,698260,71
big,Samochauf_SAHD,7,0,Basic-Ceramic,2,Countertop,1,Luxury,0,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-50liters,high,double,486317,45
small,COPA_Aluminium,0,2,Wall-Hung,2,Countertop,1,Standard,0,Luxury_Enclosure,0,Wall-Hung,0,Electric-30liters,poor,double,198748,18
big,GLOBAL_ISEO_350,14,0,One-Piece,3,Pedestal,0,Luxury,1,Basic_Enclosure,0,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,1673364,45
small,COPA_Aluminium,14,1,One-Piece,3,Countertop,0,Luxury,2,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-6liters,high,double,696644,59
small,COPA_Aluminium,13,0,One-Piece,2,Wall-Mounted,2,Standard,2,Basic_Enclosure,1,Bidet-Mixer-Tap,0,Electric-30liters,high,single,576933,61
medium,Helyos_Evo,15,3,Wall-Hung,0,Countertop,0,Standard,0,Basic_Enclosure,2,Bidet-Mixer-Tap,2,Electric-30liters,high,single,712400,63
medium,Primavera_H500,9,1,Basic-Ceramic,3,Wall-Mounted,2,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,poor,double,591277,54
medium,COPA_Aluminium,2,2,Basic-Ceramic,0,Wall-Mounted,0,Standard,0,Basic_Enclosure,0,Wall-Hung,0,Electric-30liters,high,single,76886,10
small,COPA_Aluminium,3,1,One-Piece,2,Countertop,0,Luxury,2,Luxury_Enclosure,2,Bidet-Ceramic,1,Electric-50liters,high,double,484710,36
big,COPA_Aluminium,6,0,Basic-Ceramic,2,Countertop,2,Luxury,0,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,high,double,407208,42
big,Helyos_Evo,0,2,Wall-Hung,1,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,high,double,353898,32
big,GLOBAL_ISEO_350,2,2,One-Piece,1,Wall-Mounted,1,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,0,GAS-11liters,poor,double,474501,22
big,Sira_Alice_Royal,4,2,Wall-Hung,0,Countertop,1,Luxury,0,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-11liters,high,double,438348,36
big,Samochauf_SAHD,8,1,Basic-Ceramic,0,Countertop,0,Standard,1,Basic_Enclosure,1,Wall-Hung,0,Electric-50liters,high,double,389833,36
small,Helyos_Evo,6,3,Basic-Ceramic,0,Pedestal,2,Luxury,0,Basic_Enclosure,0,Bidet-Mixer-Tap,1,GAS-11liters,high,single,457339,34
big,FONDITAL_ARDENTE_C2,12,0,Wall-Hung,1,Pedestal,1,Luxury,0,Basic_Enclosure,2,Wall-Hung,1,GAS-6liters,poor,double,517855,47
medium,FONDITAL_ARDENTE_C2,15,0,One-Piece,0,Pedestal,1,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,2,GAS-6liters,high,single,641422,59
big,FONDITAL_ARDENTE_C2,13,3,One-Piece,1,Countertop,0,Luxury,2,Basic_Enclosure,1,Wall-Hung,2,Electric-30liters,poor,double,682025,61
big,FONDITAL_ARDENTE_C2,1,0,Wall-Hung,2,Countertop,0,Standard,0,Luxury_Enclosure,0,Wall-Hung,0,Electric-30liters,high,single,101493,6
big,Sira_Alice_Royal,10,2,Basic-Ceramic,3,Countertop,2,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,0,Electric-30liters,poor,single,606272,55
small,Primavera_H500,11,1,Basic-Ceramic,1,Wall-Mounted,0,Standard,1,Basic_Enclosure,2,Bidet-Ceramic,2,GAS-11liters,poor,double,587535,54
medium,Samochauf_SAHD,12,2,Wall-Hung,0,Countertop,1,Luxury,1,Basic_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,single,562224,58
big,GLOBAL_ISEO_350,4,2,Basic-Ceramic,3,Countertop,1,Standard,2,Basic_Enclosure,1,Bidet-Mixer-Tap,2,Electric-50liters,poor,single,874838,50
small,Samochauf_SAHD,11,2,Basic-Ceramic,0,Wall-Mounted,2,Luxury,0,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-11liters,poor,single,589513,55
medium,GLOBAL_ISEO_350,7,1,One-Piece,0,Wall-Mounted,2,Luxury,0,Basic_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,single,957712,35
big,Samochauf_SAHD,13,0,Basic-Ceramic,2,Pedestal,1,Luxury,1,Basic_Enclosure,1,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,550355,43
big,Helyos_Evo,16,0,One-Piece,2,Pedestal,0,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-11liters,poor,double,682599,67
small,FONDITAL_ARDENTE_C2,5,3,Basic-Ceramic,1,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,0,Wall-Hung,2,GAS-11liters,poor,double,555147,44
big,Sira_Alice_Royal,4,3,One-Piece,1,Countertop,2,Standard,2,Luxury_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,single,625741,42
small,GLOBAL_ISEO_350,13,3,Basic-Ceramic,3,Wall-Mounted,1,Standard,2,Basic_Enclosure,1,Wall-Hung,1,Electric-30liters,high,double,1782180,55
big,GLOBAL_ISEO_350,16,1,Wall-Hung,2,Wall-Mounted,2,Luxury,2,Luxury_Enclosure,2,Bidet-Ceramic,2,Electric-50liters,poor,double,2273819,88
small,Helyos_Evo,8,0,One-Piece,2,Wall-Mounted,2,Standard,2,Luxury_Enclosure,0,Bidet-Ceramic,0,Electric-30liters,poor,single,615690,44
small,COPA_Aluminium,8,0,Wall-Hung,1,Countertop,1,Standard,2,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-11liters,poor,single,504358,51
big,COPA_Aluminium,14,2,One-Piece,0,Pedestal,0,Luxury,2,Basic_Enclosure,1,Wall-Hung,1,Electric-50liters,poor,double,626024,56
medium,Helyos_Evo,7,2,Basic-Ceramic,0,Wall-Mounted,1,Luxury,0,Basic_Enclosure,2,Wall-Hung,0,GAS-11liters,high,single,374824,34
big,Helyos_Evo,1,2,Basic-Ceramic,2,Wall-Mounted,0,Luxury,2,Basic_Enclosure,0,Wall-Hung,2,Electric-50liters,poor,double,378134,30
big,Samochauf_SAHD,11,2,Basic-Ceramic,0,Countertop,1,Luxury,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,Electric-50liters,poor,double,411772,34
medium,Samochauf_SAHD,9,3,Wall-Hung,0,Wall-Mounted,0,Standard,2,Luxury_Enclosure,0,Wall-Hung,1,Electric-30liters,high,double,706110,60
medium,GLOBAL_ISEO_350,1,0,One-Piece,0,Pedestal,1,Luxury,1,Basic_Enclosure,1,Wall-Hung,0,GAS-11liters,poor,double,287206,21
big,FONDITAL_ARDENTE_C2,12,2,One-Piece,1,Wall-Mounted,2,Luxury,2,Luxury_Enclosure,2,Wall-Hung,1,Electric-30liters,poor,single,890280,63
medium,GLOBAL_ISEO_350,6,2,Basic-Ceramic,1,Pedestal,0,Standard,1,Luxury_Enclosure,2,Wall-Hung,2,Electric-30liters,high,double,939755,40
small,FONDITAL_ARDENTE_C2,2,0,Wall-Hung,1,Wall-Mounted,2,Standard,2,Basic_Enclosure,2,Wall-Hung,1,GAS-6liters,high,single,429857,35
medium,Sira_Alice_Royal,8,0,Basic-Ceramic,3,Countertop,2,Standard,1,Basic_Enclosure,1,Wall-Hung,0,GAS-11liters,poor,double,577209,38
small,GLOBAL_ISEO_350,13,2,One-Piece,0,Wall-Mounted,0,Luxury,0,Basic_Enclosure,1,Wall-Hung,2,Electric-50liters,poor,double,1557877,53
big,Helyos_Evo,8,0,Basic-Ceramic,1,Countertop,0,Standard,2,Luxury_Enclosure,2,Wall-Hung,2,Electric-50liters,poor,single,674825,45
big,GLOBAL_ISEO_350,7,1,One-Piece,0,Pedestal,0,Standard,2,Basic_Enclosure,0,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,908928,25
small,GLOBAL_ISEO_350,7,0,Wall-Hung,2,Wall-Mounted,2,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,GAS-11liters,high,double,960952,32
big,GLOBAL_ISEO_350,11,3,One-Piece,2,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-11liters,high,double,1484226,61
medium,Helyos_Evo,9,1,Basic-Ceramic,1,Countertop,1,Luxury,0,Luxury_Enclosure,1,Wall-Hung,0,Electric-50liters,high,single,460027,42
small,FONDITAL_ARDENTE_C2,1,3,Wall-Hung,3,Wall-Mounted,1,Standard,2,Basic_Enclosure,0,Wall-Hung,1,Electric-30liters,poor,single,436420,26
big,COPA_Aluminium,14,3,Wall-Hung,3,Pedestal,0,Standard,1,Luxury_Enclosure,0,Bidet-Ceramic,2,Electric-50liters,poor,double,694725,65
small,Samochauf_SAHD,15,0,One-Piece,2,Wall-Mounted,2,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,1,Electric-30liters,high,double,645671,65
small,GLOBAL_ISEO_350,13,3,Wall-Hung,2,Countertop,1,Standard,2,Luxury_Enclosure,0,Bidet-Ceramic,2,Electric-50liters,poor,double,1934095,79
small,COPA_Aluminium,6,0,Basic-Ceramic,3,Countertop,2,Standard,2,Basic_Enclosure,2,Wall-Hung,0,GAS-6liters,poor,single,570390,43
small,FONDITAL_ARDENTE_C2,8,1,Wall-Hung,2,Countertop,1,Standard,1,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,double,525855,50
small,COPA_Aluminium,6,3,One-Piece,3,Wall-Mounted,0,Standard,2,Basic_Enclosure,1,Bidet-Mixer-Tap,1,GAS-6liters,poor,double,427692,47
medium,Sira_Alice_Royal,9,0,Wall-Hung,3,Wall-Mounted,1,Standard,0,Luxury_Enclosure,1,Bidet-Mixer-Tap,2,Electric-50liters,poor,double,495396,35
big,Samochauf_SAHD,12,2,Wall-Hung,0,Countertop,0,Standard,0,Luxury_Enclosure,2,Bidet-Ceramic,0,GAS-6liters,poor,double,438262,47
big,Helyos_Evo,13,3,One-Piece,2,Countertop,0,Luxury,0,Basic_Enclosure,2,Bidet-Ceramic,1,GAS-11liters,poor,single,609209,62
big,Sira_Alice_Royal,12,2,Wall-Hung,0,Pedestal,0,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,704063,63
small,GLOBAL_ISEO_350,15,2,One-Piece,0,Countertop,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-11liters,poor,single,1850792,64
big,FONDITAL_ARDENTE_C2,13,2,One-Piece,0,Pedestal,1,Luxury,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,Electric-50liters,poor,single,744695,50
medium,FONDITAL_ARDENTE_C2,15,3,Wall-Hung,3,Wall-Mounted,1,Standard,0,Luxury_Enclosure,0,Bidet-Mixer-Tap,0,GAS-6liters,high,single,661096,47
medium,Helyos_Evo,12,0,One-Piece,2,Countertop,2,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,1,Electric-30liters,high,single,687894,57
big,Samochauf_SAHD,11,1,Basic-Ceramic,3,Wall-Mounted,1,Luxury,1,Basic_Enclosure,1,Bidet-Ceramic,1,Electric-30liters,poor,double,554251,55
small,FONDITAL_ARDENTE_C2,14,0,One-Piece,2,Wall-Mounted,1,Luxury,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,single,764691,50
small,Sira_Alice_Royal,10,2,Basic-Ceramic,1,Countertop,2,Luxury,1,Luxury_Enclosure,1,Bidet-Mixer-Tap,0,GAS-6liters,high,double,703265,51
small,COPA_Aluminium,5,0,Basic-Ceramic,0,Countertop,2,Standard,1,Luxury_Enclosure,1,Bidet-Ceramic,2,Electric-30liters,poor,double,456644,36
medium,COPA_Aluminium,14,1,One-Piece,0,Pedestal,0,Standard,2,Luxury_Enclosure,2,Wall-Hung,2,Electric-50liters,high,double,692400,70
big,COPA_Aluminium,15,3,One-Piece,2,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,1,GAS-6liters,high,single,621738,50
medium,FONDITAL_ARDENTE_C2,16,2,Basic-Ceramic,2,Wall-Mounted,2,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,high,double,769816,71
big,COPA_Aluminium,6,3,One-Piece,0,Wall-Mounted,0,Luxury,2,Luxury_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,high,double,497527,44
small,GLOBAL_ISEO_350,7,2,One-Piece,3,Pedestal,1,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,2,GAS-6liters,poor,single,1034571,47
big,FONDITAL_ARDENTE_C2,0,1,Wall-Hung,0,Wall-Mounted,1,Luxury,2,Basic_Enclosure,1,Wall-Hung,2,Electric-30liters,high,double,430014,29
big,Samochauf_SAHD,3,3,One-Piece,1,Wall-Mounted,1,Luxury,2,Luxury_Enclosure,0,Wall-Hung,2,GAS-11liters,poor,double,587187,40
small,Primavera_H500,4,2,Basic-Ceramic,1,Pedestal,0,Luxury,1,Luxury_Enclosure,2,Wall-Hung,1,Electric-50liters,high,double,429244,31
small,GLOBAL_ISEO_350,8,0,Wall-Hung,3,Wall-Mounted,2,Luxury,2,Luxury_Enclosure,1,Bidet-Ceramic,1,Electric-50liters,poor,double,1357619,46
big,FONDITAL_ARDENTE_C2,4,3,One-Piece,1,Countertop,1,Standard,2,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-6liters,high,single,507890,37
big,Sira_Alice_Royal,13,1,Basic-Ceramic,2,Wall-Mounted,0,Standard,2,Basic_Enclosure,2,Bidet-Mixer-Tap,0,GAS-6liters,poor,double,599681,52
big,Helyos_Evo,4,0,One-Piece,0,Pedestal,0,Standard,2,Luxury_Enclosure,2,Bidet-Ceramic,1,GAS-6liters,poor,double,441362,27
small,Primavera_H500,3,2,Wall-Hung,2,Wall-Mounted,0,Standard,2,Basic_Enclosure,0,Bidet-Mixer-Tap,1,Electric-30liters,poor,double,368891,29
big,GLOBAL_ISEO_350,12,2,One-Piece,0,Pedestal,0,Standard,0,Luxury_Enclosure,0,Bidet-Ceramic,0,GAS-6liters,high,double,1357682,40
small,Sira_Alice_Royal,11,1,Wall-Hung,3,Countertop,2,Standard,1,Luxury_Enclosure,2,Wall-Hung,0,Electric-30liters,high,single,760329,66
small,Samochauf_SAHD,1,2,Basic-Ceramic,3,Countertop,1,Standard,2,Basic_Enclosure,1,Bidet-Mixer-Tap,1,Electric-50liters,poor,double,413194,37
small,Sira_Alice_Royal,11,2,Wall-Hung,0,Wall-Mounted,2,Standard,2,Luxury_Enclosure,2,Wall-Hung,1,Electric-50liters,high,single,891246,67
medium,GLOBAL_ISEO_350,10,2,Wall-Hung,3,Wall-Mounted,1,Luxury,0,Basic_Enclosure,0,Wall-Hung,0,Electric-30liters,poor,double,1305785,35
big,Samochauf_SAHD,6,3,Wall-Hung,3,Pedestal,1,Luxury,0,Luxury_Enclosure,2,Bidet-Ceramic,0,GAS-6liters,high,double,429508,29
small,Primavera_H500,3,1,Wall-Hung,2,Countertop,2,Luxury,1,Luxury_Enclosure,2,Bidet-Mixer-Tap,2,GAS-6liters,poor,single,642022,45
big,FONDITAL_ARDENTE_C2,10,0,Basic-Ceramic,2,Countertop,1,Luxury,2,Luxury_Enclosure,1,Wall-Hung,2,Electric-50liters,poor,double,808855,53
big,GLOBAL_ISEO_350,0,1,One-Piece,1,Pedestal,0,Luxury,1,Basic_Enclosure,0,Bidet-Ceramic,0,Electric-50liters,high,double,132234,13
medium,Helyos_Evo,3,0,Basic-Ceramic,2,Countertop,0,Luxury,2,Basic_Enclosure,0,Wall-Hung,1,Electric-30liters,high,single,313145,24
small,COPA_Aluminium,7,0,One-Piece,2,Pedestal,0,Standard,2,Basic_Enclosure,2,Wall-Hung,2,GAS-11liters,high,double,547664,55
big,FONDITAL_ARDENTE_C2,15,2,Wall-Hung,1,Wall-Mounted,1,Standard,1,Luxury_Enclosure,0,Bidet-Mixer-Tap,2,Electric-50liters,poor,double,788376,53
big,COPA_Aluminium,6,1,Wall-Hung,2,Countertop,1,Standard,1,Basic_Enclosure,2,Wall-Hung,0,Electric-30liters,poor,double,463458,43
big,Helyos_Evo,6,1,Wall-Hung,2,Wall-Mounted,1,Standard,1,Basic_Enclosure,0,Bidet-Ceramic,2,GAS-6liters,poor,single,432204,43
big,Primavera_H500,9,3,One-Piece,0,Wall-Mounted,2,Standard,1,Basic_Enclosure,1,Bidet-Ceramic,1,GAS-11liters,high,double,699053,52
